year,VEP,VAP,Total.Ballots.Counted,ANES.Est,Felons,Noncit,Overseas
1980,159635,164445,86515,71,802,5756,1803
1982,160467,166028,67616,60,960,6641,1982
1984,167702,173995,92653,74,1165,7482,2361
1986,170396,177922,64991,53,1367,8362,2216
1988,173579,181955,91595,70,1594,9280,2257
1990,176629,186159,67859,47,1901,10239,2659
1992,179656,190778,104405,75,2183,11447,2418
1994,182623,195258,75106,56,2441,12497,2229
1996,186347,200016,96263,73,2586,13601,2499
1998,190420,205313,72537,52,2920,14988,2937
2000,194331,210623,105375,73,3083,16218,2937
2002,198382,215462,78382,62,3168,17237,3308
2004,203483,220336,122295,77,3158,18068,3862
2006,207644,225485,85769,,3363,19392,4418
2008,213314,230872,131304,78,3145,19392,4972
2010,217551,236022,90912,,3244,20062,4972
2012,222474,240958,130292,76,3352,20240,5127
2014,227158,245838,83262,,3330,19590,5345
2016,230932,250056,138847,76,3176,20755,4740
2018,237090,255802,118582,,3264,20208,4753
2020,239924,258339,159738,84,3294,20150,4971
2022,242540,261673,111550,,2633,19625,3129
2024,243803,264799,156766,80,2610,21714,3325
