"birthyr","gender4","educ","pid3","CC24_401","presvote","TS_g2024"
1978,2,2,"Democrat","I definitely voted in the November 2024 General Election.","Harris",1
1968,1,5,"Republican","I definitely voted in the November 2024 General Election.","Harris",1
1946,2,4,"Independent","I definitely voted in the November 2024 General Election.","Harris",1
2001,2,2,"Democrat","I usually vote, but didn't this time.",NA,1
1955,2,2,"Republican","I definitely voted in the November 2024 General Election.","Trump",1
1956,2,6,"Democrat","I definitely voted in the November 2024 General Election.","Harris",1
1997,2,5,"Democrat","I definitely voted in the November 2024 General Election.","Harris",-99
1966,2,5,"Democrat","I definitely voted in the November 2024 General Election.","Harris",1
1990,1,2,"Other",NA,NA,-99
1968,1,4,"Not sure","I definitely voted in the November 2024 General Election.","Harris",1
1965,2,3,"Democrat",NA,NA,0
1977,2,3,"Not sure","I definitely voted in the November 2024 General Election.","Other",1
1960,2,2,"Other",NA,NA,-99
1957,2,5,"Republican","I definitely voted in the November 2024 General Election.","Trump",-99
1944,1,4,"Democrat","I definitely voted in the November 2024 General Election.","Trump",1
1957,2,2,"Republican","I definitely voted in the November 2024 General Election.","Trump",1
1990,1,1,"Other","I definitely voted in the November 2024 General Election.","Trump",1
1948,2,3,"Independent","I definitely voted in the November 2024 General Election.","Trump",0
1961,2,1,"Republican",NA,NA,-99
1944,2,2,"Republican","I definitely voted in the November 2024 General Election.","Trump",1
1940,2,2,"Republican","I definitely voted in the November 2024 General Election.","Harris",1
1954,2,2,"Republican","I definitely voted in the November 2024 General Election.","Trump",1
1948,2,4,"Democrat","I definitely voted in the November 2024 General Election.","Harris",1
1957,2,3,"Democrat","I definitely voted in the November 2024 General Election.","Harris",1
1969,2,2,"Democrat","I definitely voted in the November 2024 General Election.","Harris",1
1950,2,2,"Republican","I definitely voted in the November 2024 General Election.","Trump",1
1962,2,2,"Republican","I definitely voted in the November 2024 General Election.","Trump",1
1965,2,3,"Republican","I definitely voted in the November 2024 General Election.","Trump",1
1988,2,4,"Democrat","I definitely voted in the November 2024 General Election.","Harris",1
2000,2,5,"Democrat","I definitely voted in the November 2024 General Election.","Harris",1
1953,1,1,"Democrat","I definitely voted in the November 2024 General Election.","Harris",1
1953,1,2,"Republican","I definitely voted in the November 2024 General Election.","Trump",1
1997,2,3,"Independent","I definitely voted in the November 2024 General Election.","Harris",1
1989,2,2,"Republican",NA,NA,-99
1950,2,6,"Democrat","I definitely voted in the November 2024 General Election.","Harris",1
1957,1,2,"Independent","I definitely voted in the November 2024 General Election.","Harris",1
1980,1,2,"Democrat","I definitely voted in the November 2024 General Election.","Harris",-99
1959,2,5,"Democrat","I definitely voted in the November 2024 General Election.","Harris",1
1955,1,2,"Republican","I definitely voted in the November 2024 General Election.","Trump",1
1958,1,2,"Democrat","I definitely voted in the November 2024 General Election.","Trump",1
1969,2,2,"Democrat","I definitely voted in the November 2024 General Election.","Harris",1
1981,2,2,"Republican",NA,NA,-99
1961,2,2,"Democrat",NA,NA,0
2001,2,5,"Democrat","I definitely voted in the November 2024 General Election.","Harris",-99
1980,1,6,"Democrat","I definitely voted in the November 2024 General Election.","Harris",1
1962,1,2,"Independent","I usually vote, but didn't this time.",NA,-99
1995,2,3,"Not sure",NA,NA,-99
1966,2,4,"Democrat","I definitely voted in the November 2024 General Election.","Harris",1
1973,2,2,"Democrat","I definitely voted in the November 2024 General Election.","Harris",1
1954,1,3,"Democrat","I definitely voted in the November 2024 General Election.","Harris",1
2000,2,5,"Democrat","I thought about voting this time – but didn't.",NA,0
1978,1,2,"Independent","I definitely voted in the November 2024 General Election.","Harris",0
1968,1,2,"Democrat","I definitely voted in the November 2024 General Election.","Harris",1
