"","instr","college_student","inFavor_inclusion_diffRating_in_Qguide","strongOpin","age","male","gender_TEXT","yearSchool","condition","instr_A","product_clean1","product_neutral1","product_neutral2","product_clean2","product_clean3","product_neutral3","product_clean4","product_neutral4","product_neutral5","product_clean5","selfAliena_1","selfAliena_2","selfAliena_3","selfAliena_4","amountChoice_writing_essay","av_products_clean","av_products_neutral","self_alienation","amount_choice","cond_Num"
1,1,1,1,7,22,0,"            ","senior","No_Choice     ",1,7,4,7,6,1,2,2,1,1,1,2,2,3,1,2,3.4,3,2,2,0
2,1,1,1,7,21,0,"            ","Junior","ProAttitudinal",1,4,5,6,5,2,1,2,1,1,1,3,3,2,1,6,2.8,2.8,2.25,6,2
3,1,1,1,7,21,0,"            ","Junior","High_Choice   ",1,5,6,7,6,5,2,6,2,6,5,3,2,4,3,1,5.4,4.6,3,1,1
4,1,1,1,4,18,0,"            ","Freshman","High_Choice   ",1,4,6,5,6,6,3,4,2,2,3,4,3,3,3,4,4.6,3.6,3.25,4,1
5,1,1,1,7,21,0,"            ","Senior","High_Choice   ",1,1,6,5,5,1,2,2,1,1,1,3,2,2,2,1,2,3,2.25,1,1
6,1,1,1,3,18,0,"            ","Freshman","ProAttitudinal",1,3,4,1,6,2,2,4,1,1,3,3,3,3,3,5,3.6,1.8,3,5,2
7,1,1,1,7,18,1,"            ","Freshman (Class of 2018)","No_Choice     ",1,5,2,1,4,5,5,6,2,7,7,5,4,2,2,3,5.4,3.4,3.25,3,0
8,1,1,1,6,22,0,"            ","Senior","High_Choice   ",1,6,7,7,6,5,6,7,1,4,6,5,5,5,4,5,6,5,4.75,5,1
9,1,1,1,7,21,1,"            ","Junior","High_Choice   ",1,1,4,5,2,1,1,1,1,3,2,2,2,1,1,1,1.4,2.8,1.5,1,1
10,1,1,1,6,21,1,"            ","Senior","ProAttitudinal",1,5,5,3,7,2,6,5,2,6,3,1,1,1,1,6,4.4,4.4,1,6,2
11,1,1,1,6,19,0,"            ","2nd","High_Choice   ",1,6,6,1,1,5,1,1,3,1,7,1,1,1,1,5,4,2.4,1,5,1
12,1,1,1,6,21,0,"            ","Senior","ProAttitudinal",1,4,4,6,4,4,5,4,2,5,4,2,1,1,1,7,4,4.4,1.25,7,2
13,1,1,1,7,20.5,0,"            ","3rd","ProAttitudinal",1,4,4,4,7,5,5,5,1,1,6,1,1,1,1,7,5.4,3,1,7,2
