district,state,cd,member,party,harris_pct_2024map,trump_pct_2024map,dem_margin_2024map,harris_pct_2026map,trump_pct_2026map,dem_margin_2026map,redistricted
AK-AL,AK,99,Nick Begich,R,41.4,54.5,-13.1,41.4,54.5,-13.1,0
AL-01,AL,1,Barry Moore,R,21.9,77.3,-55.3,31.5,67.6,-36,1
AL-02,AL,2,Shomari Figures,D,53.7,45.4,8.2,42.4,56.8,-14.3,1
AL-03,AL,3,Mike Rogers,R,26.3,72.9,-46.7,26.2,72.9,-46.7,0
AL-04,AL,4,Robert Aderholt,R,16.4,82.8,-66.4,16.4,82.8,-66.4,0
AL-05,AL,5,Dale Strong,R,34.8,63.9,-29.1,34.8,63.9,-29.1,0
AL-06,AL,6,Gary Palmer,R,30.2,68.7,-38.6,32.1,66.8,-34.6,1
AL-07,AL,7,Terri Sewell,D,61.2,37.9,23.4,58.5,40.7,17.8,1
AR-01,AR,1,Rick Crawford,R,26.4,71.7,-45.3,26.4,71.7,-45.3,0
AR-02,AR,2,French Hill,R,41,56.6,-15.5,41,56.6,-15.5,0
AR-03,AR,3,Steve Womack,R,36.2,61.1,-24.9,36.2,61.1,-24.9,0
AR-04,AR,4,Bruce Westerman,R,29.1,69,-39.9,29.1,69,-39.9,0
AZ-01,AZ,1,David Schweikert,R,48,51.1,-3.1,48,51.1,-3.1,0
AZ-02,AZ,2,Eli Crane,R,42,57,-15,42,57,-15,0
AZ-03,AZ,3,Yassamin Ansari,D,69.2,29.4,39.8,69.2,29.4,39.8,0
AZ-04,AZ,4,Greg Stanton,D,52.6,46,6.7,52.6,46,6.7,0
AZ-05,AZ,5,Andy Biggs,R,39.5,59.5,-20,39.5,59.5,-20,0
AZ-06,AZ,6,Juan Ciscomani,R,49.1,49.8,-0.7,49.1,49.8,-0.8,0
AZ-07,AZ,7,Adelita Grijalva,D,60.5,38.4,22.1,60.5,38.4,22.1,0
AZ-08,AZ,8,Abe Hamadeh,R,41.4,57.7,-16.3,41.4,57.7,-16.3,0
AZ-09,AZ,9,Paul Gosar,R,34,65.1,-31.1,34,65.1,-31.1,0
CA-01,CA,1,James Gallagher,R,36.1,61.1,-24.9,54.5,42.3,12.2,1
CA-02,CA,2,Jared Huffman,D,70.9,25.7,45.2,60.8,36.1,24.6,1
CA-03,CA,3,Kevin Kiley,R,46.5,50.3,-3.8,53.4,43.2,10.2,1
CA-04,CA,4,Mike Thompson,D,64,32.8,31.2,55.8,41.2,14.5,1
CA-05,CA,5,Tom McClintock,R,39.9,57.6,-17.7,38.4,59.1,-20.7,1
CA-06,CA,6,Ami Bera,D,55.2,41.4,13.9,52.6,44.2,8.4,1
CA-07,CA,7,Doris Matsui,D,63.1,33.4,29.7,54.8,42,12.8,1
CA-08,CA,8,John Garamendi,D,70.2,26.6,43.6,65.5,31.4,34.1,1
CA-09,CA,9,Josh Harder,D,47.6,49.4,-1.8,54.1,42.7,11.4,1
CA-10,CA,10,Mark DeSaulnier,D,65.2,31.4,33.8,65.1,31.6,33.5,1
CA-11,CA,11,Nancy Pelosi,D,81.8,14.1,67.7,81.8,14.1,67.7,0
CA-12,CA,12,Lateefah Simon,D,84.5,10.6,73.9,84.5,10.6,73.9,0
CA-13,CA,13,Adam Gray,D,46,51.4,-5.4,48.8,48.4,0.4,1
CA-14,CA,14,VACANT (Swalwell),D,65.8,30.4,35.4,65.4,30.6,34.8,1
CA-15,CA,15,Kevin Mullin,D,72.2,24.3,47.9,72.2,24.3,47.9,0
CA-16,CA,16,Sam Liccardo,D,72.5,23.9,48.5,72.3,24.2,48.1,1
CA-17,CA,17,Ro Khanna,D,66.8,28.8,37.9,67.3,28.3,39,1
CA-18,CA,18,Zoe Lofgren,D,63.2,33.7,29.5,62.7,34.2,28.4,1
CA-19,CA,19,Jimmy Panetta,D,65.4,31.1,34.4,65.4,31,34.4,1
CA-20,CA,20,Vince Fong,R,33.7,64,-30.3,32.8,65,-32.2,1
CA-21,CA,21,Jim Costa,D,50.6,46.8,3.8,51.6,45.7,6,1
CA-22,CA,22,David Valadao,R,45.8,51.6,-5.8,47.8,49.6,-1.9,1
CA-23,CA,23,Jay Obernolte,R,40.2,57.1,-16.9,39,58.4,-19.4,1
CA-24,CA,24,Salud Carbajal,D,61,35.9,25,60.9,36,24.9,1
CA-25,CA,25,Raul Ruiz,D,50.1,47.6,2.5,51.8,46,5.8,1
CA-26,CA,26,Julia Brownley,D,55.2,42,13.2,56.2,41,15.3,1
CA-27,CA,27,George Whitesides,D,50.5,46.6,3.9,53.4,43.6,9.7,1
CA-28,CA,28,Judy Chu,D,61.8,34.9,26.9,61,35.7,25.3,1
CA-29,CA,29,Luz Rivas,D,65.8,31,34.8,65.3,31.6,33.6,1
CA-30,CA,30,Laura Friedman,D,68.8,27.8,41.1,68.3,28.3,40,1
CA-31,CA,31,Gil Cisneros,D,56.9,40,16.9,54.6,42.4,12.2,1
CA-32,CA,32,Brad Sherman,D,64.2,32.9,31.3,61,36,25,1
CA-33,CA,33,Pete Aguilar,D,52.9,44.2,8.7,53.4,43.6,9.8,1
CA-34,CA,34,Jimmy Gomez,D,73.1,22.4,50.6,73.1,22.4,50.6,0
CA-35,CA,35,Norma Torres,D,53.7,43.4,10.3,52.4,44.6,7.8,1
CA-36,CA,36,Ted Lieu,D,67.9,28.8,39.1,67.9,28.8,39.1,0
CA-37,CA,37,Sydney Kamlager-Dove,D,78.7,18.3,60.4,78.7,18.3,60.4,0
CA-38,CA,38,Linda Sanchez,D,56.5,40.4,16.1,54.5,42.2,12.3,1
CA-39,CA,39,Mark Takano,D,53.3,43.6,9.7,53.2,43.7,9.5,1
CA-40,CA,40,Young Kim,R,47.2,49.5,-2.3,42.4,54.6,-12.2,1
CA-41,CA,41,Ken Calvert,R,45.7,51.7,-5.9,55.6,41.4,14.2,1
CA-42,CA,42,Robert Garcia,D,64.5,32,32.4,55,41.9,13.1,1
CA-43,CA,43,Maxine Waters,D,72.9,23.9,49,72.9,23.9,49,0
CA-44,CA,44,Nanette Barragan,D,65.3,31.5,33.8,66,30.8,35.2,1
CA-45,CA,45,Derek Tran,D,49.3,47.8,1.5,50.5,46.6,3.9,1
CA-46,CA,46,Lou Correa,D,57.3,39.6,17.7,56.5,40.4,16.2,1
CA-47,CA,47,Dave Min,D,50.3,46.2,4.2,53.2,43.1,10.1,1
CA-48,CA,48,Darrell Issa,R,41.1,56.4,-15.3,50.4,47,3.4,1
CA-49,CA,49,Mike Levin,D,52.5,44.7,7.8,54.6,42.5,12.1,1
CA-50,CA,50,Scott Peters,D,63.1,33.6,29.6,57.6,39.3,18.2,1
CA-51,CA,51,Sara Jacobs,D,60.2,36.7,23.5,57.7,39.4,18.3,1
CA-52,CA,52,Juan Vargas,D,59.3,38.1,21.2,57.5,39.9,17.6,1
CO-01,CO,1,Diana DeGette,D,76.7,20.6,56.1,76.7,20.6,56.1,0
