"rownames","Name","Year","mf","deaths","firstLF","BaseDam2014"
"Easy1950","Easy",1950,"f",2,"1950-09-04",32.4194190871369
"King1950","King",1950,"m",4,"1950-10-17",275.073858921162
"Able1952","Able",1952,"m",3,"1952-08-30",24.5694339622641
"Barbara1953","Barbara",1953,"f",1,"1953-08-13",8.86741573033708
"Florence1953","Florence",1953,"f",0,"1953-09-26",1.77348314606742
"Carol1954","Carol",1954,"f",60,"1954-08-30",4050.68635315985
"Edna1954","Edna",1954,"f",20,"1954-09-11",352.059479553903
"Hazel1954","Hazel",1954,"f",20,"1954-10-18",2473.21784386617
"Connie1955","Connie",1955,"f",0,"1955-08-12",353.373134328358
"Diane1955","Diane",1955,"f",200,"1955-08-17",1766.86567164179
"Ione1955","Ione",1955,"m",7,"1955-09-19",777.730097014925
"Flossy1956","Flossy",1956,"f",15,"1956-09-24",217.610294117647
"Audrey1957","Audrey",1957,"f",416,"1957-06-27",1263.84341637011
"Helene1958","Helene",1958,"f",1,"1958-09-27",91.7547404844291
"Debra1959","Debra",1959,"f",0,"1959-07-25",56.9525773195876
"Gracie1959","Gracie",1959,"f",22,"1959-09-29",113.905154639175
"Donna1960","Donna",1960,"f",50,"1960-09-10",3091.4777027027
"Ethel1960","Ethel",1960,"f",0,"1960-09-15",8.47856756756757
"Carla1961","Carla",1961,"f",46,"1961-09-11",2573.47826086957
"Cindy1963","Cindy",1963,"f",3,"1963-09-17",97.1799215686274
"Cleo1964","Cleo",1964,"f",3,"1964-08-27",981.408387096774
"Dora1964","Dora",1964,"f",5,"1964-09-09",1909.35483870968
"Hilda1964","Hilda",1964,"f",37,"1964-10-03",954.677419354839
"Isbell1964","Isbell",1964,"f",3,"1964-10-14",76.3741935483871
"Betsy1965","Betsy",1965,"f",75,"1965-09-08",10671.4872380952
"Alma1966","Alma",1966,"f",6,"1966-06-09",73.4394444444444
"Inez1966","Inez",1966,"f",3,"1966-10-04",36.537037037037
"Beulah1967","Beulah",1967,"f",15,"1967-09-20",1417.7245508982
"Gladys1968","Gladys",1968,"f",3,"1968-10-18",45.5831034482759
"Camille1969","Camille",1969,"f",256,"1969-08-17",9167.1923705722
"Celia1970","Celia",1970,"f",22,"1970-08-03",2770.33608247423
"Fern1971","Fern",1971,"f",2,"1971-09-10",176.722340740741
"Edith1971","Edith",1971,"f",0,"1971-09-16",146.148148148148
"Ginger1971","Ginger",1971,"f",0,"1971-09-30",58.4592592592593
"Agnes1972","Agnes",1972,"f",117,"1972-06-19",11894.6411483254
"Carmen1974","Carmen",1974,"f",1,"1974-09-07",720.365111561866
"Eloise1975","Eloise",1975,"f",21,"1975-09-23",2156.36431226766
"Belle1976","Belle",1976,"f",5,"1976-08-09",416.09841827768
"Babe1977","Babe",1977,"f",0,"1977-09-05",39.0693069306931
"Bob1979","Bob",1979,"m",1,"1979-07-11",65.2231404958678
"David1979","David",1979,"m",15,"1979-09-03",1043.57024793388
"Frederic1979","Frederic",1979,"m",5,"1979-09-12",7500.66115702479
"Allen1980","Allen",1980,"m",2,"1980-08-09",861.990291262136
"Alicia1983","Alicia",1983,"f",21,"1983-08-18",4754.21686746988
"Diana1984","Diana",1984,"f",3,"1984-09-13",148.117420596728
"Bob1985","Bob",1985,"m",0,"1985-07-25",44.0074349442379
"Danny1985","Danny",1985,"m",1,"1985-08-15",110.018587360595
"Elena1985","Elena",1985,"f",4,"1985-09-02",2750.46468401487
"Gloria1985","Gloria",1985,"f",8,"1985-09-26",1980.33457249071
"Juan1985","Juan",1985,"m",12,"1985-10-29",3300.55762081784
"Kate1985","Kate",1985,"f",5,"1985-11-21",660.111524163569
"Bonnie1986","Bonnie",1986,"f",3,"1986-06-26",4.32043795620438
"Charley1986","Charley",1986,"m",5,"1986-08-17",32.4032846715328
"Floyd1987","Floyd",1987,"m",0,"1987-10-12",1.04207746478873
"Florence1988","Florence",1988,"f",1,"1988-09-09",5.84394928148774
"Chantal1989","Chantal",1989,"f",13,"1989-08-01",190.935483870968
"Hugo1989","Hugo",1989,"m",21,"1989-09-21",13365.4838709677
"Jerry1989","Jerry",1989,"m",3,"1989-10-15",133.654838709677
"Bob1991","Bob",1991,"m",15,"1991-08-19",2607.48898678414
"Andrew1992","Andrew",1992,"m",62,"1992-08-24",42188.1682109765
"Emily1993","Emily",1993,"f",3,"1993-08-31",57.3467128027682
"Erin1995","Erin",1995,"f",6,"1995-08-02",1087.48031496063
"Opal1995","Opal",1995,"f",9,"1995-10-04",4660.62992125984
"Bertha1996","Bertha",1996,"f",8,"1996-07-12",407.42638623327
"Fran1996","Fran",1996,"f",26,"1996-09-05",4828.75717017208
"Danny1997","Danny",1997,"m",10,"1997-07-19",147.514018691589
"Bonnie1998","Bonnie",1998,"f",3,"1998-08-26",1045.81104294479
"Earl1998","Earl",1998,"m",3,"1998-09-02",114.748711656442
"Georges1998","Georges",1998,"m",1,"1998-09-25",3355.31042944785
"Bret1999","Bret",1999,"m",0,"1999-08-22",85.2677070828331
"Floyd1999","Floyd",1999,"m",56,"1999-09-16",6395.07803121249
"Irene1999","Irene",1999,"f",8,"1999-10-15",1136.90276110444
"Lili2002","Lili",2002,"f",2,"2002-10-03",1131.94129419613
"Claudette2003","Claudette",2003,"f",3,"2003-07-15",231.663405088063
"Isabel2003","Isabel",2003,"f",51,"2003-09-18",4337.25375081539
"Alex2004","Alex",2004,"m",1,"2004-08-03",5.0134462678666
"Charley2004","Charley",2004,"m",10,"2004-08-13",17045.7173107464
"Gaston2004","Gaston",2004,"m",8,"2004-08-29",162.937003705664
"Frances2004","Frances",2004,"f",7,"2004-09-05",11280.2541026998
"Ivan2004","Ivan",2004,"m",25,"2004-09-16",17797.7342509264
"Jeanne2004","Jeanne",2004,"f",5,"2004-09-26",8648.19481206988
"Cindy2005","Cindy",2005,"f",1,"2005-07-05",387.932411674347
"Dennis2005","Dennis",2005,"m",15,"2005-07-10",2703.40399385561
"Katrina2005","Katrina",2005,"f",1836,"2005-08-29",98195.3917050691
"Ophelia2005","Ophelia",2005,"f",1,"2005-09-15",84.8602150537634
"Rita2005","Rita",2005,"f",62,"2005-09-24",12122.8878648233
"Wilma2005","Wilma",2005,"f",5,"2005-10-24",24973.1490015361
"Humberto2007","Humberto",2007,"m",1,"2007-09-13",57.0940764533958
"Dolly2008","Dolly",2008,"f",1,"2008-07-23",1154.64252704328
"Gustav2008","Gustav",2008,"m",52,"2008-09-01",4728.53606312964
"Ike2008","Ike",2008,"m",84,"2008-09-13",21223.4293066051
"Irene2011","Irene",2011,"f",41,"2011-08-27",7367.86417651008
"Isaac2012","Isaac",2012,"m",5,"2012-08-28",2423.34730001655
"Sandy2012","Sandy",2012,"f",159,"2012-10-29",51560.580851416
