"VERSION","VOTEMETHOD","SENAZ22","GOVAZ22","SOSAZ22","FTVOTER18","BIDENPRES4","ISSUE22","BIDENPOL22","FAVTRUMP","FORCANDSEN","IMMBETTER","NEC","OVERTURNROE","VOTE2020","QUALSEN22","FAIRELECTION","ABORTION","INFLATION22","LEGIT2020","PTYIMPT14","FORBIDEN22","FORTRUMP22","AGE10","SEX","EDUC18","QRACEAI","LATINOS","PARTYID","PHIL3","MARRIED","WEIGHT","state","SENGA22","GOVGA22","SOSGA22","TIME22SEN","GOODJUDGEGA","LATINO","BRNAGAIN","GOVMI22","SOSMI22","PROP3MI22","HANDLEELECTIONMI","TIME22GOV","BIDENRUN24","WHITMER4","HANDLECRIMEMI","UNIONHH12","SURVEY","SURVEYMODE","SENNC22","RACISM20","BORNINNC22","VETVOTER","GUNOWNER12","SENNH22","GOVNH22","SUNUNU4","TRUMPRUN24","SENNV22","GOVNV22","SOSNV22","SENOH22","GOVOH22","DEWINE4","SENPA22","GOVPA22","HANDLEELECTIONPA","FETTERMANHEALTH","OZRESIDENT","GOVTX22","HANDLEBORDERTX","HANDLEGUNTX","GUN16","ABBOTT4","ABBOTTRUN24","MIGRANTTX","BORNINTX22","SENWI22","GOVWI22","EVERS4","HANDLECRIMEWI","vote.mode"
1,2,1,1,1,2,1,2,1,2,1,1,2,4,1,4,2,1,2,1,1,3,2,8,2,5,1,2,1,1,1,0.58775593906,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,1,2,2,2,2,4,3,2,1,1,2,4,2,2,4,4,4,1,2,1,2,1,9,1,5,1,2,2,3,1,0.44547766447,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Election Day"
1,2,1,1,1,2,2,4,1,2,1,1,3,4,1,3,1,1,2,1,1,1,2,10,2,1,1,2,1,2,1,2.04217502648,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,2,2,2,2,4,5,2,1,1,2,4,NA,2,4,2,NA,1,2,2,NA,3,9,2,2,1,2,3,2,1,1.2881853811,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,2,NA,1,2,1,1,2,4,1,4,1,1,3,1,1,3,3,9,1,5,1,2,3,2,1,0.43195263418,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,2,2,1,2,1,NA,3,4,1,3,1,1,3,1,1,1,2,10,2,5,1,2,1,2,2,0.94337656695,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,1,1,2,1,2,1,1,2,4,1,1,1,2,3,1,1,1,2,10,2,3,4,2,1,2,1,3.67133725733,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,1,2,2,2,2,4,3,2,2,2,2,4,2,2,4,2,3,2,1,1,2,3,7,1,4,1,2,2,2,1,0.59345545796,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Election Day"
1,2,2,2,2,NA,4,5,2,1,1,2,4,1,2,3,2,4,2,2,1,2,1,9,2,2,1,2,2,3,1,0.91583059932,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,4,1,2,2,2,2,3,4,2,3,2,2,2,1,2,3,1,10,1,1,1,2,3,3,1,1.04984342896,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
